[LOG] System::create                           : Header version = 2.01.04. Current version = 2.01.04.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20104 (111454), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=44100, nAvgBytesPerSec=352800, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 3760 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[WRN] SystemI::init                            : Output requires a sample rate of 44100Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x8000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000001222EB09778 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[WRN] OutputWASAPI::mixerThread                : Starvation detected in WASAPI output buffer!
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 135)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 7
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {b6c8974e-d682-46c5-92d0-e982a992b3f0}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {0cdab940-b4ad-4e14-bd5b-53d4ba9d18b8}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {8836c9d5-fcef-453b-9b6b-96e88a67c610}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {61dc6d84-2e25-4714-9ca7-b61d308e262f}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {20fd61ad-495d-4dab-9ee2-adf4dd817fdf}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {99a71a57-1e4e-4b0e-83c3-21568b2baf65}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {c59b4535-ad46-4581-8a8f-aabb1fde8c98}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {0ad48860-c568-48fe-adea-773754dc12a1}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {065be8bc-dea2-46fa-a2d7-71b81182934c}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {db292d9a-a93a-4c77-acef-8c43d91ceb39}
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 135)
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
